Feature	Gain	Cover	Frequency
mprestamos_personales_lag1	0.00235556810955053	0.00171367200506481	0.00179718568369532
Visa_Fvencimiento_lag2	0.00235103819893559	0.0043173525380749	0.00588865096359743
Master_fechaalta_lag1	0.00228771677613679	0.0059426950676698	0.00657693484245947
internet_lag1	0.00228363690118184	0.0043000968196963	0.00244723156928724
mcaja_ahorro_lag1	0.0022543803429971	0.00479984824134109	0.00690195778525543
Visa_mconsumototal	0.00224970977462317	0.00241038415536735	0.00541067604772102
Visa_fechaalta_lag1	0.00219983597429394	0.00380529173145703	0.0065195778525543
mpasivos_margen_lag2	0.00216501083349197	0.00293733320454579	0.0055062710308963
mcomisiones_mantenimiento_delta1	0.00215071316941059	0.00359957979754337	0.00349877638421536
Master_fechaalta_lag2	0.0021479766717382	0.00386960391419754	0.0059460079535026
chomebanking_transacciones_lag2	0.00212948994321839	0.00189160020744767	0.00476063016212909
mpasivos_margen_lag1	0.00211908311039482	0.00231369645256748	0.00560186601407158
Master_Fvencimiento_lag2	0.00209283220003371	0.0045909004849087	0.00506653410829
mtransferencias_recibidas	0.00208811426359808	0.00314951918556247	0.00455032119914347
mactivos_margen_delta1	0.00207897153940423	0.00245375969446187	0.00529596206791068
cliente_antiguedad_lag2	0.00204488522586841	0.00376487938043994	0.00602248394004283
rf_009_014_lag1	0.00202476038843568	7.75285876698461e-05	0.00011471397981034
Visa_cconsumos	0.00201612129349384	0.00214648266362446	0.00497093912511472
mrentabilidad_lag2	0.00199748485065998	0.00322411629242031	0.00499005812174977
Visa_mpagominimo_lag2	0.00199274368062077	0.00397823829007061	0.00506653410829
rf_006_004	0.00196035838515625	0.000810669023048145	0.00130009177118385
cliente_antiguedad	0.00194712235502457	0.00633914229692386	0.006079840929948
Visa_mpagominimo_delta2	0.00193493196276002	0.00374123512849233	0.00521948608137045
mttarjeta_visa_debitos_automaticos_lag2	0.0019319913537098	0.00412442992183363	0.00447384521260324
mrentabilidad_delta2	0.00193178191501268	0.00240308139564539	0.00456944019577853
mprestamos_personales_delta1	0.00191145368995309	0.00601334461998285	0.00170159070052004
mcaja_ahorro_lag2	0.00189855356093168	0.00203602247771763	0.00552539002753136
mcuenta_corriente_lag2	0.00189650185463648	0.00217919303162318	0.00376644233710615
ccallcenter_transacciones_delta2	0.00186358609766265	0.00375151813095721	0.00151040073416947
kmes	0.00186216870117271	0.00169124463953097	0.00395763230345671
mactivos_margen_delta2	0.00184028698756007	0.00226228720520045	0.00441648822269807
mcomisiones_mantenimiento_lag2	0.0018304342450768	0.00630551794297876	0.00399587029672683
mrentabilidad_delta1	0.00182452939229454	0.00232246351145611	0.00573569899051698
mpasivos_margen_delta1	0.00181982462653603	0.00171230306790096	0.00445472621596819
Master_mfinanciacion_limite	0.00181862045525161	0.00165520452825005	0.00428265524625268
kmes_lag1	0.00181585479571035	0.00178821962937207	0.00351789538085041
Visa_mconsumototal_lag2	0.00177282352894868	0.00276564412725398	0.00418706026307739
mpasivos_margen_delta2	0.00176303276333916	0.00279646455006842	0.00397675130009177
Visa_cconsumos_lag2	0.00175592029333464	0.00219724191205039	0.00382379932701132
Master_Fvencimiento_lag1	0.001717245545037	0.00219191941517784	0.00432089323952279
ctrx_quarter_lag1	0.00171683055427021	0.00264913169695684	0.0043591312327929
mrentabilidad_lag1	0.00171059463339935	0.00285195082331404	0.00474151116549404
mcomisiones_delta2	0.00169800776367591	0.00318886838236177	0.00426353624961762
Visa_mlimitecompra	0.00169555056446401	0.00180462261447611	0.00365172835729581
mcuenta_corriente_delta1	0.00169187846329877	0.00382449312294094	0.00344141939431019
ctrx_quarter_lag2	0.00167605214433988	0.00295670370144527	0.00468415417558887
Visa_mfinanciacion_limite_lag1	0.00164952535637592	0.00159632413636516	0.00357525237075558
mcomisiones_delta1	0.0016327688488869	0.00318506735381627	0.00451208320587336
mttarjeta_visa_debitos_automaticos_delta1	0.00162736654352412	0.00412968996500156	0.00418706026307739
mttarjeta_visa_debitos_automaticos_lag1	0.00162553702894455	0.00309447104907539	0.00414882226980728
Master_mfinanciacion_limite_delta2	0.00162274590910927	0.00265002334369349	0.00466503517895381
rf_001_001	0.00162155364752295	0.000231467121077259	5.73569899051698e-05
